Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
1835,04/15/2016 - 12:50pm,canton37HDCC,,37,4/15/16,4/15/16,,Spring,Sugar Maple,44.611433,-75.169584,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),17,,,,no,no,no,canton37HDCC,Yes
1836,04/15/2016 - 12:50pm,Canton 38 HHEF,,38,4/15/16,4/15/16,,Spring,Sugar Maple,44.611188,-75.169001,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),14,,,,no,no,no,Canton 38 HHEF,yes
1837,04/15/2016 - 12:50pm,Allisha Pruett and Jacob Binion,,,4/5/16,4/5/16,,Spring,Red Maple,44.931081,74.867121,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),36,,,,no,no,no,Allisha Pruett and Jacob Binion,missing some bark on branches
1838,04/15/2016 - 12:50pm,canton 41 co jm,,41,4/15/16,4/15/16,,Spring,Sugar Maple,44.608917,-75.171201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,,,,no,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains),canton 41 co jm,yes.
1839,04/15/2016 - 12:50pm,canton 41 co jm,,41,4/15/16,4/15/16,,Spring,Sugar Maple,44.608917,-75.171201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,,,,no,no,no,canton 41 co jm,yes.
1840,04/15/2016 - 12:51pm,canton 44 amew,,44,4/15/16,4/15/16,,Spring,Sugar Maple,44.611459,-75.16959,No,Other,Open (more than 5hr per day of direct sun),42,,,,no,no,no,canton 44 amew,
1841,04/15/2016 - 12:51pm,MHAB,,35,4/15/16,4/15/16,,Spring,Sugar Maple,44.61136,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37.5,,,,no,no,no,MHAB,yes
1842,04/15/2016 - 12:52pm,canton 13 kh,,39,4/15/16,4/15/16,,Spring,Sugar Maple,44.611434,-75.169531,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),39,,,,yes,no,no,canton 13 kh,"other than a single dead branch , yes beyond fine

"
1843,04/15/2016 - 1:02pm,"Kiara, Aayliah, Evan, Alylessa",,,4/5/16,4/5/16,,Spring,Norway Maple,44.931071,74.866797,Yes,School lawn,Open (more than 5hr per day of direct sun),60,,,,no,no,no,"Kiara, Aayliah, Evan, Alylessa",yes
1844,04/15/2016 - 1:06pm,"Cameron, Zayden, Devin, Trenton",,,4/5/16,4/5/16,,Spring,Norway Maple,44.931289,74.866899,Yes,School lawn,Open (more than 5hr per day of direct sun),69.5,,,,no,no,no,"Cameron, Zayden, Devin, Trenton",Broken Branches
1845,04/15/2016 - 1:09pm,"Aiden, Aaron, Skyler, Brock",,,4/5/16,4/5/16,,Spring,Red Maple,44.931185,74.866818,Yes,School lawn,Open (more than 5hr per day of direct sun),94,,,,no,no,no,"Aiden, Aaron, Skyler, Brock",Dead branches
1846,04/15/2016 - 1:33pm,"Harley, Makayla & Taylor",,,4/5/16,4/5/16,,Spring,Red Maple,44.93105,74.867313,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),73,,,,no,no,no,"Harley, Makayla & Taylor",some moss on the trunck
1847,04/15/2016 - 1:57pm,"Noah Parks, Mason Zera",,,4/5/16,4/5/16,,Spring,Sugar Maple,44.93186,74.866329,Yes,School lawn,Open (more than 5hr per day of direct sun),97,,,,no,no,no,"Noah Parks, Mason Zera",yes
1848,04/15/2016 - 2:12pm,canton 49 HI BL,,49,4/15/16,4/15/16,,Spring,Norway Maple,44.606267,75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),50.5,,,,no,no,no,canton 49 HI BL,yes
1849,04/15/2016 - 2:13pm,canton 54 er,,54,4/15/16,4/15/16,,Spring,Norway Maple,44.60581,-75.167953,Yes,School lawn,Open (more than 5hr per day of direct sun),85,,,,no,no,no,canton 54 er,has a missing limb on the right side
1850,04/15/2016 - 2:13pm,canton 51 kl sm,,,4/15/16,4/15/16,,Spring,Silver Maple,44.605511,-75.167999,Yes,School lawn,Open (more than 5hr per day of direct sun),70,,,,yes,no,no,canton 51 kl sm,yes but has fungi
1851,04/15/2016 - 2:14pm,"NC, TC",,Canton 46,4/15/16,4/15/16,,Spring,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),87,,,,yes,yes,no,"NC, TC",Little Fungi
1852,04/15/2016 - 2:15pm,Fh Ph,,,4/15/16,4/15/16,,Spring,Sugar Maple,44.605362,-75.167645,Yes,School garden,Partially Shaded (2-5hr per day of direct sun),106,,,,no,no,no,Fh Ph,Moss and broken branches
1853,04/15/2016 - 2:15pm,gage dean char  grandaw,,,4/15/16,4/15/16,,Spring,Sugar Maple,9,10,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),9,,,,yes,no,no,gage dean char  grandaw,yes
1854,04/15/2016 - 2:15pm,canton 53 tm,,53,4/15/16,4/15/16,,Spring,Norway Maple,44.605998,-75.167856,Yes,School lawn,Open (more than 5hr per day of direct sun),72,,,,no,no,no,canton 53 tm,yes
1855,04/15/2016 - 2:15pm,canton52,,52,4/15/16,4/15/16,,Spring,Norway Maple,44,605769,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),44,,,,yes,no,no,canton52,
1856,04/15/2016 - 2:16pm,Seth Thomas,,56,4/14/16,4/14/16,,Spring,Sugar Maple,44.60493,-75168005,Yes,School lawn,Open (more than 5hr per day of direct sun),94,,,,no,no,no,Seth Thomas,
1857,04/15/2016 - 2:16pm,harley snyder,,55,4/15/16,4/15/16,,Spring,Red Maple,44.605696,-75.167442,Yes,School lawn,Open (more than 5hr per day of direct sun),104,,,,no,no,no,harley snyder,
1858,04/15/2016 - 2:16pm,"Orion, Chole ",,45,4/15/16,4/15/16,,Spring,Silver Maple,44.605323,-75167859,Yes,School lawn,Open (more than 5hr per day of direct sun),96,,,,yes,no,Flowers are visible,"Orion, Chole ",yes
1859,04/15/2016 - 3:36pm,"Blade, Owen, Mason",,,4/5/16,4/5/16,,Spring,Red Maple,44.931821,74.866463,Yes,School garden,Partially Shaded (2-5hr per day of direct sun),99,,,,yes,no,no,"Blade, Owen, Mason",bark broken
1860,04/20/2016 - 10:03am,"Aaron,Michael",,62,4/20/16,4/20/16,,Spring,Silver Maple,44.557125,-74.945713,Yes,School lawn,Open (more than 5hr per day of direct sun),16,,,,yes,no,no,"Aaron,Michael",yes
1861,04/20/2016 - 10:04am,Izzy and Alannah,,64,4/20/16,4/20/16,,Spring,Silver Maple,44.557572,-74.946624,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),30,,,,no,no,no,Izzy and Alannah,Yes.
1862,04/20/2016 - 10:04am,"Billy, and Josh",,66,4/20/16,4/20/16,,Spring,Silver Maple,44.5581,74.9475,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),32,,,,no,no,no,"Billy, and Josh","Yes, very!"
1863,04/20/2016 - 10:05am,Jaeleigh and Landree,,65,4/20/16,4/20/16,,Spring,Red Maple,44,93,Yes,School lawn,Shaded (less than 2hr per day of direct sun),34,,,,no,no,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains),Jaeleigh and Landree,yes
1864,04/20/2016 - 10:07am,Savanna S. and Maura R.,,63,4/20/16,4/20/16,,Spring,Silver Maple,443326.7,745618.2,No,School lawn,Open (more than 5hr per day of direct sun),23,,,,no,no,no,Savanna S. and Maura R.,yes
1865,04/21/2016 - 8:39am,canton09WS,,9,4/21/16,4/21/16,,Spring,Sugar Maple,9,9,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),9,,,,yes,no,no,canton09WS,Yes
1866,04/21/2016 - 8:40am,Canton 12 NW,,12,4/21/16,4/21/16,,Spring,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,,,no,no,no,Canton 12 NW,yes
1867,04/21/2016 - 8:41am,Canton10CTAS,,10,4/21/16,4/21/16,,Spring,Sugar Maple,44.610246,-75.169679,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),32,,,,no,no,no,Canton10CTAS,Yes
1868,04/21/2016 - 8:41am,canton4CDNE,,,4/21/16,4/21/16,,Spring,Sugar Maple,44.61138,75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),46,,,,no,no,no,canton4CDNE,There are missing limbs and branches.
1869,04/21/2016 - 8:41am,canton 10 gbbb,,1,4/21/16,4/21/16,,Spring,Sugar Maple,44.611187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),33,,,,no,no,no,canton 10 gbbb,no
1870,04/21/2016 - 8:41am,canton6ms,,1,4/21/16,4/21/16,,Spring,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),48,,,,no,no,no,canton6ms,Yes there is no damage
1871,04/21/2016 - 8:42am,canton8sm,,8,4/21/16,4/21/16,,Spring,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),48.5,,,,no,no,no,canton8sm,Yes
1872,04/21/2016 - 8:42am,canton11nv,,,4/21/16,4/21/16,,Spring,Sugar Maple,44.61138,-76.16982,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),33,,,,no,no,no,canton11nv,yes but has a fallen tree on it
1873,04/21/2016 - 8:42am,Canton2jcnc,,2,4/21/16,4/21/16,,Spring,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,,,,no,no,no,Canton2jcnc,"Has A little of moss at the bottom of it and maybe A couple dead limbs, But it looks healthy."
1874,04/21/2016 - 8:42am,canton7mllk,,7,4/21/16,4/21/16,,Spring,Sugar Maple,44.61138,-75.169582,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,,,,no,no,no,canton7mllk,yes
1875,04/21/2016 - 8:42am,noah,,3,4/21/16,4/21/16,,Spring,Sugar Maple,44.594168,-75.149756,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),19,,,,no,no,no,noah,split at bottom
1876,04/21/2016 - 10:52am,Canton24GWNW,,24,4/21/16,4/21/16,,Spring,Sugar Maple,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),4,,,,no,no,no,Canton24GWNW,Yes
1877,04/21/2016 - 10:52am,canton13bbrb,,13,4/21/16,4/21/16,,Spring,Sugar Maple,44.611452,75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,,,,no,no,no,canton13bbrb,"broken limbs, dead top"
1878,04/21/2016 - 10:52am,Canton 22 EWGT,,22,4/21/16,4/21/16,,Spring,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,,,,yes,no,no,Canton 22 EWGT,Broken branch
1879,04/21/2016 - 10:52am,justin mackeenzie,,19,4/21/16,4/21/16,,Spring,Sugar Maple,44.6146,75.169603,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),17.25,,,,no,no,no,justin mackeenzie,yes
1880,04/21/2016 - 10:52am,mjok,,17,4/21/16,4/21/16,,Spring,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),5432,,,,no,no,no,mjok,
1881,04/21/2016 - 10:54am,canton21stat,,,4/21/16,4/21/16,,Spring,Sugar Maple,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),54,,,,no,no,no,canton21stat,
1882,04/21/2016 - 10:54am,Canton16 TFJH,,16,4/21/16,4/21/16,,Spring,Sugar Maple,44.6,-75.1,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),52,,,,no,no,no,Canton16 TFJH,Broken/Missing Limbs
1883,04/21/2016 - 10:55am,Canton14CBHKB,,14,4/21/16,4/21/16,,Spring,Sugar Maple,44.611452,-75.16935,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),54,,,,no,no,no,Canton14CBHKB,Broken branches
1884,04/21/2016 - 10:55am,canton23kwsw,,23,4/21/16,4/21/16,,Spring,Sugar Maple,44.575389,-78.1361,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,,,,no,no,no,canton23kwsw,yes
1885,04/21/2016 - 10:55am,c,,20,4/21/16,4/21/16,,Spring,Sugar Maple,44.611952,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,,,,no,no,no,c,YES
1886,04/21/2016 - 10:56am,canton18mmsk,,18,4/21/16,4/21/16,,Spring,Sugar Maple,44611477,-75169512,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),33,,,,no,no,no,canton18mmsk,yes
1887,04/21/2016 - 10:56am,kc bf,,15,4/21/16,4/21/16,,Spring,Sugar Maple,44.594168,-75.149756,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),43,,,,no,no,no,kc bf,yes
1888,04/21/2016 - 11:35am,canton 31 LRHR,,31,4/21/16,4/21/16,,Spring,Sugar Maple,45.36412,75.10104,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),45,,,,no,no,no,canton 31 LRHR,
1889,04/21/2016 - 11:35am,Canton 30 SP GO,,30,4/21/16,4/21/16,,Spring,Sugar Maple,44.61029,-75.170224,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),51,,,,no,no,no,Canton 30 SP GO,
1890,04/21/2016 - 11:36am,canton 29KMEM,,29,4/21/16,4/21/16,,Spring,Sugar Maple,44.611203,75.169027,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),12,,,,no,no,no,canton 29KMEM,yes
1891,04/21/2016 - 11:36am,canton 25 GBVB,,25,4/21/16,4/21/16,,Spring,Sugar Maple,44.611455,-75.169544,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),9,,,,yes,no,no,canton 25 GBVB,
1892,04/21/2016 - 11:36am,Audrey Hammond James Hissam,,27,4/21/16,4/21/16,,Spring,Sugar Maple,44.610527,-75.169689,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,,,,no,no,no,Audrey Hammond James Hissam,yup
1893,04/21/2016 - 11:37am,Canton 26LFMG,,26,4/21/16,4/21/16,,Spring,Sugar Maple,44.611458,-75.169593,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),8,,,,yes,no,no,Canton 26LFMG,yes
1894,04/21/2016 - 11:37am,Canton28 LL LH,,28,4/21/16,4/21/16,,Spring,Sugar Maple,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),25,,,,no,no,no,Canton28 LL LH,
1895,04/21/2016 - 11:38am,colby young,,34,4/21/16,4/21/16,,Spring,Sugar Maple,44.611451,-75.169546,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),35,,,,no,no,no,colby young,
1896,04/21/2016 - 11:39am,"Drew Simser, and Christopher Schuckers",,32,4/21/16,4/21/16,,Spring,Sugar Maple,44.61078,-75.1169508,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),43,,,,no,no,no,"Drew Simser, and Christopher Schuckers",yes
1897,04/21/2016 - 11:39am,conner hadleigh,,33,4/21/16,4/21/16,,Spring,Sugar Maple,44.611735,-75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23,,,,yes,no,no,conner hadleigh,
1898,04/21/2016 - 12:50pm,Canton 40 XJ LF,,40,4/21/16,4/21/16,,Spring,Sugar Maple,44.610247,-75.169787,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,,,no,no,no,Canton 40 XJ LF,
1899,04/21/2016 - 12:52pm,Canton44amew,,44,4/21/16,4/21/16,,Spring,Sugar Maple,44.611459,-75.16959,No,Other,Open (more than 5hr per day of direct sun),42,,,,yes,no,no,Canton44amew,yes
1900,04/21/2016 - 12:52pm,canton 41 co jm,,41,4/21/16,4/21/16,,Spring,Sugar Maple,44.608917,-75.171201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,,,,no,no,no,canton 41 co jm,yes
1901,04/21/2016 - 12:53pm,canton38hhef,,38,4/21/16,4/21/16,,Spring,Sugar Maple,44.611188,-75.169001,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),14,,,,no,no,no,canton38hhef,yes
1902,04/21/2016 - 12:53pm,Canton35abmh,,35,4/21/16,4/21/16,,Spring,Sugar Maple,44.61136,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37.5,,,,no,no,no,Canton35abmh,yes
1903,04/21/2016 - 12:53pm,Canton HP LP,,,4/21/16,4/21/16,,Spring,Sugar Maple,44.611236,75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38,,,,no,no,no,Canton HP LP,"yes, beside some moss and branch loss"
1904,04/21/2016 - 12:53pm,Canton ET NR,,43 ET NR,4/21/16,4/21/16,,Spring,Sugar Maple,44.611236,-75.162032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,,,,no,no,no,Canton ET NR,Yep
1905,04/21/2016 - 12:53pm,Canton 37 CC HD,,37,4/21/16,4/21/16,,Spring,Sugar Maple,44.611433,-75.169584,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),17,,,,no,no,no,Canton 37 CC HD,Yes
1906,04/21/2016 - 12:56pm,peter and ashton,,36,4/21/16,4/21/16,,Spring,Sugar Maple,44.611451,75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),26,,,,no,no,no,peter and ashton,yes 
1907,04/21/2016 - 12:57pm,canton kh,,39,4/21/16,4/21/16,,Spring,Sugar Maple,44.611434,70.169531,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),39,,,,yes,no,no,canton kh,"yes , but has a single dead branch"
1908,04/21/2016 - 12:59pm,Peter and Ashton,,36,4/21/16,4/21/16,,Spring,Sugar Maple,44.611451,75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),26,,,,no,no,no,Peter and Ashton,yes yes alot of sap came out today
1909,04/21/2016 - 2:16pm,canton 49 HI BL,,49,4/21/16,4/21/16,,Spring,Norway Maple,44.606267,-75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),46.5,,,,no,no,no,canton 49 HI BL,yes
1910,04/21/2016 - 2:16pm,canton 51 kl sm,,51,4/21/16,4/21/16,,Spring,Silver Maple,44.605511,-75.167999,Yes,School lawn,Open (more than 5hr per day of direct sun),70,,,,yes,no,no,canton 51 kl sm,yes
1911,04/21/2016 - 2:16pm,canton46 nc tc,,canton46,4/21/16,4/21/16,,Spring,Norway Maple,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),85,,,,yes,yes,Flowers are visible,canton46 nc tc,yes
1912,04/21/2016 - 2:16pm,"Orion, Chole ",,46,4/21/16,4/21/16,,Spring,Silver Maple,44.605323,-75167859,Yes,School lawn,Open (more than 5hr per day of direct sun),88,,,,yes,no,Flowers are visible,"Orion, Chole ",Yes 
